"gene_ID","log2FC","beta_weight","p_weight","DE_method"
"IL7R",-0.308092734665246,-0.261713512315839,2.75576094237493e-06,"standard"
"ACTB",0.26754297875359,0.117976707107795,2.82306414774922e-06,"standard"
"HLA-DPB1",-0.380372230022507,-0.352827680158648,0.000188161146876692,"standard"
"ZNF131",0.49492111536904,0.301313624511192,0.000287960057729594,"standard"
"CD7",0.393028425228166,0.189445943595486,0.000305543702332098,"standard"
"IKZF3",-0.509097779731578,-0.439460265161813,0.000338189161799774,"standard"
"MAL",-0.514477582633209,-0.396502813898778,0.00062408303770029,"standard"
"GPRIN3",0.80277402504468,0.48618234194201,0.000817921319855213,"standard"
"CKLF",0.505816053798858,0.270252624409526,0.00112192998918659,"standard"
"HOPX",0.394143581005482,0.215498649167065,0.00135765777310494,"standard"
"ACTG1",0.215501129079954,0.0937819650507664,0.00142300717309904,"standard"
"SRGAP3",0.966833136064801,0.576884700979719,0.00174469442527742,"standard"
"AQP3",-0.313113373539499,-0.243324862772955,0.00313919759512916,"standard"
"HLA-DRA",-0.2860279703839,-0.293713225286974,0.0032756334387557,"standard"
"FOXK1",0.874923810800516,0.556627783638579,0.00340101703364831,"standard"
"VEZF1",0.57451571328604,0.346147684251041,0.00360894426397585,"standard"
"INPP4A",0.535078241841023,0.322411967794595,0.00380899310999353,"standard"
"GPR171",-0.209509749735132,-0.203089468286738,0.00388713847621381,"standard"
"TCF7",-0.273174828188619,-0.243827662292104,0.00435976969343501,"standard"
"LINC00685",0.603802940254285,0.36318652860391,0.00454676037016059,"standard"
"PRDM1",0.84432994667851,0.539156828881584,0.00466379739396157,"standard"
"PPP3CA",0.464688913949626,0.292534927998027,0.00576868841595407,"standard"
"CD55",-0.291767818103586,-0.23580179488946,0.00586111798511141,"standard"
"TK2",0.897210995131599,0.547669954874876,0.00612549282656404,"standard"
"TRAC",0.218919034313683,0.0925196010883855,0.00641081136729661,"standard"
"HLA-DQA1",-0.670596784550491,-0.587450258899056,0.00644413525380198,"standard"
"ZDHHC20",0.626443505329901,0.384862244941788,0.00828083903977253,"standard"
"ZNF880",-0.580398975578913,-0.495645331663744,0.00835420932884857,"standard"
"SLC5A3",0.448984831202182,0.2543699566746,0.00841957424031005,"standard"
"HMGN2",0.327861050641103,0.155359909004496,0.0097851583349931,"standard"
"RPS6KA3",-0.330557433336513,-0.300216585495808,0.00992002942340309,"standard"
"AOAH",0.632715632169524,0.388304952544639,0.0104101907667335,"standard"
"PDLIM2",0.447239705743367,0.249633272400536,0.0104232897061007,"standard"
"STK17B",0.268879462054157,0.143496183016222,0.0107447325270618,"standard"
"CTSA",-0.236981457717331,-0.255379099387672,0.0107655713244965,"standard"
"TNRC6C",-0.50160297467274,-0.41778038022687,0.0112232842309812,"standard"
"RPS27L",0.267418947657045,0.136675857718623,0.0114480688742826,"standard"
"NECAB3",-0.711011052996399,-0.573552624421586,0.0115325736654125,"standard"
"SH2D3A",0.784333441851865,0.4965865056691,0.0122773936142205,"standard"
"TIGIT",-0.589676789166924,-0.527646845762403,0.0134011084823671,"standard"
"POU2F2",0.42251261984099,0.236751749323069,0.0140068517345092,"standard"
"TRBC2",0.246399885902538,0.119988202787201,0.0141067211550913,"standard"
"ITM2C",0.417841180117093,0.225089026326773,0.0141247268092137,"standard"
"EPSTI1",-0.48418366031961,-0.413955375853851,0.0146525600861665,"standard"
"SPAST",0.655668382654611,0.399839069704615,0.0153909669390388,"standard"
"GZMA",0.593374740537356,0.304123673586282,0.0159481761084301,"standard"
"INPP4B",0.668449293445809,0.35779567477957,0.01610728984283,"standard"
"TRIB2",0.392533897389548,0.238686724827239,0.0168599498498157,"standard"
"SETDB2",-0.473150720344274,-0.39546586497901,0.0171914110357124,"standard"
"RCBTB2",-0.414642727066533,-0.371565039128452,0.0172972800483114,"standard"
"TMED4",-0.355704848935593,-0.291299336045536,0.0174603855800553,"standard"
"PICALM",-0.402151782883335,-0.327967104322925,0.0176306943034816,"standard"
"GNLY",-0.632381240121162,-0.552446936897049,0.0186804048273414,"standard"
"TRIM13",-0.359063861025507,-0.31564799136941,0.0205010835336013,"standard"
"CCL4",-0.691791006819614,-0.579578554118077,0.0211164231800435,"standard"
"SETX",-0.238027118263671,-0.220854115952818,0.022047343182455,"standard"
"BIN1",0.238186697890985,0.122920196362045,0.0227308928678665,"standard"
"ZNF701",0.674619265230782,0.402453997146074,0.0230519483955064,"standard"
"HCST",0.213339560461688,0.0936313744453466,0.0232712846681745,"standard"
"PIAS2",-0.388703351465381,-0.323173544115843,0.0234822585775691,"standard"
"DHFR",0.626327304206977,0.348339358080655,0.0237891682708698,"standard"
"IL4R",-0.310317092942125,-0.261835523150323,0.0252174196645663,"standard"
"NSMAF",0.55084555769934,0.312332835444264,0.0253426569608771,"standard"
"HLA-DPA1",-0.209171115781106,-0.253455200229489,0.0254055122485407,"standard"
"RP11-936I5.1",0.629636239237553,0.390879134777738,0.0260659917116469,"standard"
"IBTK",-0.250782145009775,-0.233791318623866,0.0279221117417173,"standard"
"PHC3",-0.351188681641645,-0.296529958579018,0.0282863823300528,"standard"
"EDEM1",0.592437621283303,0.350464756795284,0.0283679492102721,"standard"
"GTF3C1",-0.572621624987193,-0.46151466464833,0.0294723734241043,"standard"
"TNFAIP3",-0.493564896613919,-0.404513703987407,0.0295352334095761,"standard"
"CYP20A1",0.380750095449729,0.206528676894689,0.0298024783758879,"standard"
"LAIR1",0.590054969972309,0.336751494436152,0.0308313909309979,"standard"
"EXOC4",-0.385891153619327,-0.332087641090649,0.0314527054197917,"standard"
"GABARAP",-0.376072092588882,-0.343188930569042,0.0315804215575895,"standard"
"ARID2",-0.429453188916905,-0.357694197791351,0.0326591046389519,"standard"
"TMEM192",0.49563845774276,0.296111308202523,0.0335267457413379,"standard"
"KIAA0232",0.52978394217151,0.295332291231691,0.0380745098437047,"standard"
"ASB2",0.633123691864195,0.337397756916587,0.0381490254759386,"standard"
"CARD16",0.365623403362262,0.20736255966901,0.039093615754411,"standard"
"ZNF226",0.458136529571712,0.260550953668167,0.0399589011789443,"standard"
