"gene_ID","log2FC","beta_weight","p_weight","DE_method"
"HVCN1",0.782892235503698,0.488216686354157,2.11160220961748e-07,"standard"
"PTPN7",0.301225551162911,0.184106413533675,4.12850658412149e-07,"standard"
"XCL1",0.656195056851296,0.403073297567556,4.48966072205893e-07,"standard"
"XCL2",1.11482618174062,0.705890274941264,6.24369721420685e-07,"standard"
"PRKCDBP",0.748723292747759,0.450372646204424,8.40314233296248e-06,"standard"
"HSP90AB1",0.31902152991877,0.147176096767241,1.53170471216523e-05,"standard"
"ID3",0.838132926960646,0.542312418833401,3.0225710481789e-05,"standard"
"LTB",-0.361612302734449,-0.260243502612786,3.7470429036288e-05,"standard"
"HSPB1",0.416440094853904,0.245600066559957,5.94635119506515e-05,"standard"
"TAGAP",0.682288294565292,0.424089194189608,0.000111394238240522,"standard"
"TNFRSF9",0.977462190370586,0.630885136374332,0.000153905497557661,"standard"
"SRGN",0.237298409048749,0.119558038459929,0.000183924242356159,"standard"
"DHRS3",0.495365929136149,0.316806954620769,0.000200257423893221,"standard"
"CFLAR",0.335212863625412,0.186151891227576,0.000218676787662196,"standard"
"IER3",0.467082736682948,0.292211431865067,0.000411657581216541,"standard"
"CAMK1",0.480114812115229,0.293834593677479,0.000581448085272822,"standard"
"RPS27L",0.200367321648286,0.116492847907952,0.000802968569651045,"standard"
"IFNGR1",0.704264542244848,0.450848142781637,0.000950186911821597,"standard"
"LBH",0.27494072629983,0.166578802400981,0.0012319817391463,"standard"
"CD82",0.252176616797318,0.147616780083893,0.00127068351937669,"standard"
"NCOA7",0.47175309185666,0.276331804292414,0.00142643831517774,"standard"
"DUSP2",0.751918631907566,0.468387216881807,0.00143617869235652,"standard"
"RARRES3",-0.316974535063093,-0.242834262461848,0.00182109432391861,"standard"
"LINC01480",0.569438008727644,0.374848240663037,0.00182356511669117,"standard"
"AC133644.2",-0.356538736817352,-0.286604032915558,0.00201454364397733,"standard"
"ADD3",-0.235171428103778,-0.204930783205688,0.00205836424688364,"standard"
"RILPL2",0.295175841007116,0.158225211946819,0.0024589130277792,"standard"
"ENTPD1",0.277369904035764,0.172446579434274,0.00260948861995416,"standard"
"GOLGA8B",-0.57663934664581,-0.439066265595079,0.00266437564913737,"standard"
"FGFBP2",0.287210055203412,0.186990665910024,0.00278613300543133,"standard"
"CD27",0.235618190979324,0.114768747094608,0.00279211153736323,"standard"
"HIST1H1B",-0.251833415041285,-0.258714800205045,0.00312148467630766,"standard"
"CCL5",-0.21060092357471,-0.150175246495334,0.00319335008195888,"standard"
"GALNT2",0.327453307858493,0.199071306082939,0.00356687660210448,"standard"
"CBX7",0.602541007869339,0.382268463873991,0.00365063521818167,"standard"
"BOD1L1",0.354941104173713,0.213742058636552,0.00413592297858046,"standard"
"MTRNR2L8",0.483890318470061,0.289932898610192,0.00448362104037777,"standard"
