orig.ident,nCount_RNA,nFeature_RNA,perturbation,gRNA_UMI_count,replicate,perturbation_2,library,cancer,celltype,organism,disease,tissue_type,perturbation_type,perturbation_type_2,ncounts,ngenes,percent_mito,percent_ribo,nperts,guide_id,target,mixscale_score
SeuratProject,3785,707,ES.sg28.RASA2,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,12183,3099,3.3981779,32.602806,1,ES.sg28.RASA2,RASA2,1
SeuratProject,1209,368,ES.sg15.DGKA,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3856,1526,2.1524897,28.682573,1,ES.sg15.DGKA,DGKA,1
SeuratProject,2178,448,ES.sg26.PDCD1,11,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7053,2152,3.629661,32.879627,1,ES.sg26.PDCD1,PDCD1,1
SeuratProject,1503,418,ES.sg16.DGKZ,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4936,1645,2.2082658,38.95867,1,ES.sg16.DGKZ,DGKZ,1
SeuratProject,3012,652,ES.sg37.TMEM222,6,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8560,2536,3.8084111,30.05841,1,ES.sg37.TMEM222,TMEM222,1
SeuratProject,1431,380,ES.sg39.TNFRSF9,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4427,1518,2.3492208,36.57104,1,ES.sg39.TNFRSF9,TNFRSF9,1
SeuratProject,1963,488,control,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5156,1856,4.2086887,26.706749,1,ES.sg47.NonTarget.CTRL241,NonTarget,0
SeuratProject,1948,475,ES.sg37.TMEM222,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6707,2107,4.532578,36.66319,1,ES.sg37.TMEM222,TMEM222,1
SeuratProject,3326,600,ES.sg35.TCEB2,5,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,11107,3023,3.6373458,29.08076,1,ES.sg35.TCEB2,TCEB2,-0.106896359
SeuratProject,1741,386,ES.sg0.ARID1A,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5642,1808,3.7929811,31.850409,1,ES.sg0.ARID1A,ARID1A,1
SeuratProject,3174,598,ES.sg22.LCP2,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,10047,2958,2.9262466,26.226734,1,ES.sg22.LCP2,LCP2,-0.63538778
SeuratProject,1260,338,ES.sg6.CBLB,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4007,1615,2.370851,26.952833,1,ES.sg6.CBLB,CBLB,0.014165926
SeuratProject,1651,435,control,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4537,1653,2.1820586,29.601057,1,ES.sg43.NonTarget.CTRL108,NonTarget,0
SeuratProject,1432,370,ES.sg14.DGKA,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4844,1702,2.2708504,35.053673,1,ES.sg14.DGKA,DGKA,1
SeuratProject,1906,414,ES.sg2.BTLA,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5850,1779,1.9145299,34.188034,1,ES.sg2.BTLA,BTLA,1
SeuratProject,4187,736,ES.sg18.HAVCR2,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,12904,3411,3.9600124,26.456913,1,ES.sg18.HAVCR2,HAVCR2,1
SeuratProject,2609,520,ES.sg37.TMEM222,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8297,2335,3.6278174,34.38592,1,ES.sg37.TMEM222,TMEM222,1
SeuratProject,1657,397,ES.sg6.CBLB,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5310,1715,2.881356,36.516006,1,ES.sg6.CBLB,CBLB,0.238587462
SeuratProject,1429,364,control,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4768,1622,3.4395974,35.02517,1,ES.sg46.NonTarget.CTRL214,NonTarget,0
SeuratProject,2337,486,ES.sg30.SOCS1,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7520,2312,3.9228723,31.343084,1,ES.sg30.SOCS1,SOCS1,1
SeuratProject,1393,419,ES.sg17.DGKZ,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4437,1772,2.096011,28.645481,1,ES.sg17.DGKZ,DGKZ,1
SeuratProject,2758,611,ES.sg26.PDCD1,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8842,2776,4.8518434,27.14318,1,ES.sg26.PDCD1,PDCD1,1
SeuratProject,2184,545,ES.sg21.LAG3,7,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7440,2423,3.2123656,34.798386,1,ES.sg21.LAG3,LAG3,1
SeuratProject,3673,657,ES.sg4.C10orf54,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,12261,3217,3.1481934,27.346872,1,ES.sg4.C10orf54,C10orf54,1
SeuratProject,2129,486,ES.sg34.TCEB2,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6803,2272,3.4396589,28.340439,1,ES.sg34.TCEB2,TCEB2,1.400447476
SeuratProject,1413,344,control,9,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4503,1594,2.6204753,32.00089,1,ES.sg47.NonTarget.CTRL241,NonTarget,0
SeuratProject,3656,683,ES.sg5.C10orf54,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,10563,2954,3.805737,25.901733,1,ES.sg5.C10orf54,C10orf54,1
SeuratProject,1196,309,ES.sg10.CD5,4,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4122,1562,3.0567687,32.67831,1,ES.sg10.CD5,CD5,1
SeuratProject,1021,308,ES.sg27.PDCD1,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3581,1373,2.0106115,35.01815,1,ES.sg27.PDCD1,PDCD1,1
SeuratProject,2260,480,control,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7182,2385,4.747981,27.48538,1,ES.sg40.NonTarget.CTRL170,NonTarget,0
SeuratProject,3079,617,control,6,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,9570,2717,2.1630094,30.679205,1,ES.sg45.NonTarget.CTRL232,NonTarget,0
SeuratProject,7012,924,ES.sg26.PDCD1,16,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,20767,4330,3.7222517,23.802187,1,ES.sg26.PDCD1,PDCD1,1
SeuratProject,2304,583,control,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6803,2298,2.807585,27.825958,1,ES.sg43.NonTarget.CTRL108,NonTarget,0
SeuratProject,1081,321,control,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3482,1321,1.9241815,35.640438,1,ES.sg44.NonTarget.CTRL41,NonTarget,0
SeuratProject,1560,362,ES.sg37.TMEM222,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5142,1702,2.7615714,34.59743,1,ES.sg37.TMEM222,TMEM222,1
SeuratProject,1193,333,ES.sg15.DGKA,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3431,1356,2.4191198,28.883707,1,ES.sg15.DGKA,DGKA,1
SeuratProject,1472,358,ES.sg32.STAT6,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4699,1669,2.9793572,32.41115,1,ES.sg32.STAT6,STAT6,1
SeuratProject,1289,388,ES.sg14.DGKA,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3833,1541,3.8612053,25.228281,1,ES.sg14.DGKA,DGKA,1
SeuratProject,1725,365,ES.sg2.BTLA,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5879,1667,2.2622895,42.40517,1,ES.sg2.BTLA,BTLA,1
SeuratProject,1486,333,control,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4796,1423,2.4812343,41.18015,1,ES.sg43.NonTarget.CTRL108,NonTarget,0
SeuratProject,1204,312,ES.sg39.TNFRSF9,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4022,1350,2.5857782,39.880657,1,ES.sg39.TNFRSF9,TNFRSF9,1
SeuratProject,1995,445,ES.sg28.RASA2,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6043,1892,7.2315073,31.772299,1,ES.sg28.RASA2,RASA2,1
SeuratProject,1923,494,ES.sg10.CD5,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5247,1887,3.4877074,27.36802,1,ES.sg10.CD5,CD5,1
SeuratProject,1099,335,ES.sg26.PDCD1,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3391,1317,6.81215,33.441463,1,ES.sg26.PDCD1,PDCD1,1
SeuratProject,2225,541,ES.sg25.MEF2D,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6163,2161,2.4338796,26.75645,1,ES.sg25.MEF2D,MEF2D,1
SeuratProject,1127,335,ES.sg24.MEF2D,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3270,1340,2.5993884,28.165138,1,ES.sg24.MEF2D,MEF2D,1
SeuratProject,1886,404,ES.sg5.C10orf54,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6032,2027,2.9011936,28.265915,1,ES.sg5.C10orf54,C10orf54,1
SeuratProject,1562,413,ES.sg34.TCEB2,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4947,1760,2.9714978,31.958763,1,ES.sg34.TCEB2,TCEB2,3.443092005
SeuratProject,3330,566,ES.sg35.TCEB2,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,11142,2987,3.1951175,26.970024,1,ES.sg35.TCEB2,TCEB2,0.214669678
