"gene_ID","log2FC","beta_weight","p_weight","DE_method"
"IL7R",0.934096982292039,0.534919091291076,9.33795652043933e-15,"weighted"
"B2M",-0.00964976995939093,0.0917161765143831,4.46993825992738e-12,"weighted"
"GAPDH",-0.268058745139019,-0.114745089008572,9.32000800456224e-12,"weighted"
"LTB",0.726383322886669,0.341724793110376,1.68347006452985e-11,"weighted"
"CCL3",-0.712224704280076,-0.784003697103374,1.5551306579576e-08,"weighted"
"FCMR",0.552044322598638,0.371697874449371,3.83859561226031e-08,"weighted"
"MT-CO3",-0.301921880095049,-0.0847046243503525,8.05154130873476e-08,"weighted"
"CCL4",-1.34531549916409,-0.859111773344755,1.09398214672266e-07,"weighted"
"PKM",-0.418982597794766,-0.160716426457698,1.43641633195473e-07,"weighted"
"SET",-0.370207021533611,-0.19139254860879,4.52033774478999e-07,"weighted"
"FAM65B",0.200278093045919,0.22434621346638,4.54989778282794e-07,"weighted"
"LINC00861",0.573369367524216,0.424679171094296,5.7380414558726e-07,"weighted"
"ISG20",0.319551638446599,0.227639660319422,1.04988910058942e-06,"weighted"
"RPS2",-0.234626558038201,-0.0634560318312626,1.07493656736822e-06,"weighted"
"LINC00969",-0.422190076770754,-0.311304546921821,1.38927792047243e-06,"weighted"
"KDSR",0.342225035828894,0.32833175342414,1.49683965759068e-06,"weighted"
"ABLIM1",0.282433348606345,0.338745944835101,2.2104526587483e-06,"weighted"
"DBI",-0.250541950864565,-0.123229544744566,2.54158028482909e-06,"weighted"
"HAVCR2",-0.462306364079781,-0.561381869696839,4.96955117031533e-06,"weighted"
"FABP5",-0.395749983039724,-0.220833850548051,8.71434074708535e-06,"weighted"
"PRELID1",-0.345022997595112,-0.153446981196755,1.79434682557275e-05,"weighted"
"BATF",-0.313050043057321,-0.227338908368381,2.85700020136348e-05,"weighted"
"HNRNPH1",-0.410223957479708,-0.259436032042414,3.2652349587568e-05,"weighted"
"LAG3",-0.50648510760132,-0.387855735627915,4.26883667777692e-05,"weighted"
"MT-ND4",-0.238993275079057,-0.0735860610381388,4.90410529701426e-05,"weighted"
"KIAA0101",-0.3879291886868,-0.175512558445851,5.01761643775341e-05,"weighted"
"HSPB1",-0.419745104280314,-0.341054750133168,6.63630697225169e-05,"weighted"
"SRGN",-0.389924354568136,-0.139540136873531,6.70699483164061e-05,"weighted"
"ANP32E",-0.456877405283142,-0.223130530166727,6.86901391362626e-05,"weighted"
"YBX1",-0.255217549374063,-0.0932720539070337,7.42965452686892e-05,"weighted"
"GLIPR2",0.759318543783817,0.405025456423582,8.58095170835858e-05,"weighted"
"PTMA",-0.290034541346814,-0.0704656348169419,0.000137777631029109,"weighted"
"TCTN3",-0.577543135665204,-0.339872066672382,0.000143809579327337,"weighted"
"BID",0.902373227365072,0.416119252525256,0.000171277627762147,"weighted"
"XCL1",-0.605832332410104,-0.426097765085653,0.00019322866753135,"weighted"
"MT2A",-0.457140309966726,-0.138480560005796,0.000194969364075389,"weighted"
"LINC01215",0.606349996587162,0.432444922080742,0.000205689144896196,"weighted"
"CENPU",-0.504890928870471,-0.302675138424697,0.000213839175156556,"weighted"
"MT-ND2",-0.262187999768809,-0.0840124773047069,0.000237561812767973,"weighted"
"AHI1",-0.515702224133562,-0.322227416362874,0.000249086802889693,"weighted"
"ENTPD1",-0.347450663219551,-0.24051164571616,0.000302886721124801,"weighted"
"PPM1K",0.2784644464034,0.224726331558156,0.000319494132701127,"weighted"
"DEK",-0.376324672051508,-0.135047741715102,0.000362549919731077,"weighted"
"C12orf75",-0.29130654687888,-0.110318439898806,0.000363042697255933,"weighted"
"MT-ATP6",-0.256468443453977,-0.0648600971456836,0.000414502996497567,"weighted"
"PIK3IP1",0.403789449779683,0.229485519146093,0.000418281590558526,"weighted"
"GPRIN3",-0.609846596666372,-0.308477775281586,0.000505915223123331,"weighted"
"LGALS3BP",0.244517114480062,0.337421467900538,0.000523400063242634,"weighted"
"RANBP1",-0.356989699814961,-0.138364399502465,0.000586277201174921,"weighted"
"SRM",-0.314000385529587,-0.199044663411792,0.000761231135091361,"weighted"
"ID2",-0.273092074425146,-0.145013255686687,0.000774418375796967,"weighted"
"AQP3",0.338585438840971,0.2852298285228,0.000801242865046909,"weighted"
"ACTB",-0.2366753038813,-0.0504554437528813,0.00085648870503236,"weighted"
"TYMS",-0.539684606305912,-0.18075386464444,0.00101989237445242,"weighted"
"SATB1",0.385379650319912,0.210282052119516,0.0010443007433036,"weighted"
"PGAM1",-0.33626552249006,-0.116651612843823,0.00111930474941638,"weighted"
"MT-CO2",-0.218426672751552,-0.0520036561360479,0.0011827357877375,"weighted"
"PTPN7",-0.288745070276063,-0.137661758825917,0.00134999535532235,"weighted"
"HMGN2",-0.284512926079721,-0.0972025686887934,0.0014515124053879,"weighted"
"HSPD1",-0.343023930342871,-0.139130225428355,0.00147734463186377,"weighted"
"H2AFZ",-0.303760092104515,-0.0942862158543903,0.00151800901981445,"weighted"
"TPI1",-0.251408383389607,-0.0852546301755358,0.00161060589369343,"weighted"
"PHF19",-0.321333095480698,-0.180153726769561,0.00165911647008351,"weighted"
"FGFBP2",-0.275333942626708,-0.198537470816194,0.00174157865825897,"weighted"
"TEX30",-0.366782911786177,-0.219988023116634,0.00182054748684998,"weighted"
"CD82",-0.477806670559597,-0.181569862142278,0.00195526743141483,"weighted"
"HLA-DRA",-0.210762530560523,-0.126926282573905,0.00198340857627095,"weighted"
"ANXA2R",0.241213051106828,0.28095079788008,0.00203516532442505,"weighted"
"PATL2",0.604286457395253,0.330368157918531,0.00215284284825354,"weighted"
"MRPL12",-0.455875678355983,-0.186161062630019,0.0024842134425028,"weighted"
"HLA-DMA",-0.212375876953206,-0.203043690353032,0.00248793457218121,"weighted"
"CALR",-0.310655679791412,-0.129675309226031,0.00252351066761131,"weighted"
"AC092580.4",-0.238591613618786,-0.115030085922463,0.00314385736263552,"weighted"
"RHOC",-0.256177450913252,-0.216089409344208,0.00320139340961539,"weighted"
"MT-ND1",-0.24130691262979,-0.0691689389286105,0.00355072658569447,"weighted"
"MT-CYB",-0.22493282359234,-0.0529063147683387,0.0035691202971057,"weighted"
"CENPA",-0.576119180297179,-0.325220258954168,0.00360608540734225,"weighted"
"TRGC2",-0.43836350219173,-0.329502029773995,0.00361963303533667,"weighted"
"TMED4",-0.617912922522443,-0.29678112224103,0.00420057873437057,"weighted"
"BOLA3",-0.358965474211892,-0.193871359555334,0.00423603049288366,"weighted"
"ITM2A",-0.461980317553994,-0.16559335331645,0.0044292331572488,"weighted"
"ZNF101",0.214334108983684,0.255228398140991,0.00444903629589489,"weighted"
"GALNT2",-0.584137717919742,-0.237348565040155,0.00450791718570152,"weighted"
"HNRNPA2B1",-0.331752611298752,-0.0786080469449185,0.00455771965016659,"weighted"
"IFNG",-0.292324735992906,-0.39514644215466,0.00461042849023346,"weighted"
"RENBP",0.368219099161728,0.23713390158131,0.00465552621545052,"weighted"
"CARD16",0.20732037350871,0.176001497226322,0.00473106163406681,"weighted"
"RP5-1171I10.5",-0.327206111446344,-0.126037619032266,0.00502039968737346,"weighted"
"IER3",-0.53244198904463,-0.302512658165143,0.00504300531092583,"weighted"
"RILPL2",-0.508848232523485,-0.185204533339728,0.00511441806534901,"weighted"
"PIM2",-0.216815340278477,-0.182799437708249,0.00514991083843999,"weighted"
"ICOS",-0.383763180644459,-0.232730313638093,0.00543279480942697,"weighted"
"ENO1",-0.240351382992805,-0.0786027134132662,0.00555197504082131,"weighted"
"PRDX1",-0.397520339788726,-0.101965206447733,0.00559153160487232,"weighted"
"HSP90AA1",-0.353941660695965,-0.0753285542411332,0.00628731569574297,"weighted"
"CTD-3184A7.4",0.413061263244834,0.239928155489705,0.00670022830094053,"weighted"
"KLF2",0.216216005716679,0.216696795451807,0.00691155318599173,"weighted"
"MARCH9",0.60900567159547,0.315503027706853,0.0070270996081528,"weighted"
"ACTN1",0.275643927341021,0.283826061691776,0.00717260385564817,"weighted"
"HNRNPAB",-0.295850047168811,-0.154027774010798,0.00717986341117746,"weighted"
"LRP10",0.232660756790275,0.187248180612937,0.00736896710836319,"weighted"
"APOL3",0.385379650319912,0.188217837447494,0.0073997770199163,"weighted"
"IL10RA",0.334206998330396,0.191976104853836,0.00754251935678883,"weighted"
"LGALS1",-0.218855191686871,-0.088002908766245,0.00765978031564158,"weighted"
"SMCO4",-0.312159389408183,-0.219968416635899,0.00782633608770749,"weighted"
"HIST1H1C",-0.416828043278958,-0.167128690859249,0.00802329435249745,"weighted"
"IFNGR1",0.547854347277017,0.293769004880868,0.00828409334971047,"weighted"
"TMEM106C",-0.347298585443196,-0.192202183531247,0.00866925364260352,"weighted"
"MDN1",-0.254804820136263,-0.628021892542516,0.00919530687144298,"weighted"
"DUSP4",-0.319868817686215,-0.18859277911542,0.009332600305308,"weighted"
"DNASE1",0.217684816334978,0.238692287584211,0.00944356558763295,"weighted"
"DHRS3",-0.709116294342532,-0.296585299634516,0.00969441715082582,"weighted"
"TRIM22",0.405699634699507,0.258318790155456,0.00979611666431177,"weighted"
"TK1",-0.484585036569983,-0.180880849658057,0.00981304636969665,"weighted"
"DLGAP5",-0.562919042693467,-0.266819769069739,0.00996046718285207,"weighted"
"ASB2",-0.41791933698618,-0.174227590453869,0.0100400707349628,"weighted"
"RASGRP3",-0.691161904553081,-0.489168065502011,0.010235332713606,"weighted"
"SAMD3",0.471827819128315,0.264063292996894,0.0109204874192414,"weighted"
"SNRNP25",-0.501904271937209,-0.151264299318226,0.0109584573070639,"weighted"
"TUBB",-0.381925997178283,-0.0871997187077179,0.0116444053874047,"weighted"
"BRCA1",-0.533815709914932,-0.237220685468616,0.0118022698903339,"weighted"
"EEF1A1",-0.206613093646963,-0.0354833021700182,0.0132753492543392,"weighted"
"PIF1",-0.910297197051768,-0.414913484727245,0.0136985640192303,"weighted"
"HIST1H1E",-0.395172735236904,-0.167640021699649,0.0141630514606951,"weighted"
"NFKBIA",-0.425291136741723,-0.147778939669547,0.0147682041956591,"weighted"
"HLA-DPA1",-0.24061552704716,-0.128209666802176,0.0149876288241932,"weighted"
"HSP90AB1",-0.299639169853208,-0.0823988910153694,0.0157691289256007,"weighted"
"SPC24",-0.455839348039292,-0.451422080593409,0.0159082618536618,"weighted"
"BHLHE40",-0.326061938264152,-0.229712518618169,0.0163055050582067,"weighted"
"MAVS",-0.628675944901508,-0.3816387470811,0.0165488455610246,"weighted"
"ANKRD36B",0.402293033256258,0.249933683028364,0.0166342748392041,"weighted"
"HELLS",-0.296255831936637,-0.139637519426911,0.0166482966802091,"weighted"
"HIST1H4C",-0.465281127719628,-0.126690278424503,0.0176933853320935,"weighted"
"RP11-841O20.2",-0.276750710923705,-0.427850511514933,0.0187556072076742,"weighted"
"CD79A",-0.501453292947353,-0.312631393252767,0.0194168027991241,"weighted"
"CD59",-0.326258755337296,-0.214286536959468,0.0194507728621914,"weighted"
"SOX4",-0.445651725495795,-0.392163917889872,0.0195670956542838,"weighted"
"CENPW",-0.350279746345669,-0.171287597566993,0.0196393239615896,"weighted"
"MT1E",-0.498179086089372,-0.141295108622448,0.0196975728015421,"weighted"
"GADD45B",0.241769646422717,0.258609006382895,0.0211488320514112,"weighted"
"TTN",-0.294824842085539,-0.250795175683291,0.021573500916403,"weighted"
"HERC1",0.312411778326738,0.223223967458909,0.0217659245650588,"weighted"
"PFN1",-0.252280179622086,-0.0389516914103099,0.0224249350286161,"weighted"
"WDR76",-0.391857959104303,-0.284414401442774,0.0224926419597611,"weighted"
"TMEM154",0.270243939598432,0.268677962948386,0.0232981814822514,"weighted"
"DUT",-0.339013588652327,-0.0887702807524645,0.0235384457880637,"weighted"
"SNRPD1",-0.334004127146772,-0.0788811864963837,0.0255623569059957,"weighted"
"ZC3H4",-0.483023466896876,-0.39186587378624,0.0271511243731358,"weighted"
"GMCL1",-0.381512638260053,-0.185346419708096,0.0271764600496926,"weighted"
"HOPX",-0.222877568057225,-0.0914747612751526,0.0276215880563632,"weighted"
"IL2RA",-0.269661286137385,-0.17704997603729,0.0286918220560507,"weighted"
"SCRN2",0.235196992499231,0.230509706318429,0.0293976018517694,"weighted"
"KLHL24",0.397763374775745,0.228877380310698,0.0295623404534782,"weighted"
"CAMK1",-0.552306665577149,-0.254203107985655,0.0297341734509378,"weighted"
"REG4",-0.489414875298272,-0.178112379014698,0.0301845705740987,"weighted"
"FCER1G",0.239732051914685,0.267184768702675,0.0301947833356727,"weighted"
"CPM",-0.418071521612834,-0.419163241835258,0.0302475137991944,"weighted"
"DAAM1",-0.824502132547788,-0.296741718053624,0.0317083150136124,"weighted"
"ANKRD28",-0.353366949117066,-0.203953754295859,0.0321554243716417,"weighted"
"GPR155",0.220304700648025,0.148792592581641,0.0342395388664952,"weighted"
"CCDC186",-0.427742214956579,-0.218272628289183,0.0345970234835595,"weighted"
"PBXIP1",0.263817670438999,0.171958087564298,0.0349660281093558,"weighted"
"GALT",0.234341893171092,0.180190494813269,0.0352364559951531,"weighted"
"SNX9",-0.559897163339248,-0.243109159862585,0.0362918488912727,"weighted"
