"gene_ID","log2FC","beta_weight","p_weight","DE_method"
"BNIP3",2.10068266945766,0.512445474321831,3.12233787084161e-136,"weighted"
"TPI1",0.727550902457673,0.208665497238012,1.57007732022084e-131,"weighted"
"GAPDH",0.416767739625539,0.138573225679943,2.33227963289392e-104,"weighted"
"PGK1",0.766360667583375,0.205148724471863,8.90635733923247e-98,"weighted"
"ENO1",0.553740232407024,0.163114496983202,2.8874517331546e-70,"weighted"
"MT3",3.60451407700932,0.767692531654118,3.8989406263562e-59,"weighted"
"SLC16A3",1.14547054042975,0.310134512056566,4.01593498947034e-57,"weighted"
"TMSB10",0.277295619192175,0.0785887617230851,1.8518837203993e-46,"weighted"
"LDHA",0.548427154823874,0.157499812331962,7.63277093824819e-41,"weighted"
"ANKZF1",0.970490757837277,0.260517775358907,2.93654951070039e-35,"weighted"
"HILPDA",1.27206811020796,0.321588159826603,2.91440439229304e-33,"weighted"
"ALDOC",0.899313698946204,0.25692315977214,4.42704177742304e-32,"weighted"
"PKM",0.318904343307505,0.106568797609954,2.02216603551268e-31,"weighted"
"CD7",-0.346334710231836,-0.128829396512877,9.76749192198042e-18,"weighted"
"TXNIP",0.47799219974141,0.159255226733006,4.33867291125561e-17,"weighted"
"MXI1",0.751355465338591,0.25424045951463,5.69384388244652e-15,"weighted"
"DDIT4",0.500047380235563,0.14392821730233,3.21517341586379e-13,"weighted"
"KDM5B",0.541764811320053,0.181144225132,1.12865008891974e-11,"weighted"
"PGAM1",0.249386490497913,0.0680051953826413,7.5385565918312e-11,"weighted"
"VIM",0.273026793575958,0.0779284138997635,1.11989166703545e-10,"weighted"
"LGALS1",0.28774554818498,0.0811517658135926,5.15481710349883e-10,"weighted"
"CLEC2B",0.241461248735754,0.103527922970945,6.20559764726652e-10,"weighted"
"PLAC8",0.474445064381121,0.178491938666031,4.79259665794923e-09,"weighted"
"CXCR4",0.478827310470492,0.148823663357128,1.15497766904317e-08,"weighted"
"MIB2",0.362358400851442,0.137694887311191,1.69509745789389e-08,"weighted"
"FAM43A",1.14649340717973,0.244842852183456,1.89703731491876e-08,"weighted"
"RP11-291B21.2",0.333333091732194,0.122959342780861,1.94381647592652e-08,"weighted"
"LAYN",0.813837896098346,0.229433824929598,5.00634460032508e-08,"weighted"
"SLC2A3",0.382121655672872,0.136263659281054,2.92286145162276e-07,"weighted"
"WDR60",0.415965110644666,0.137505031159345,4.50570263783647e-07,"weighted"
"TNFSF10",0.379840714421633,0.10902382596172,4.76997142141359e-07,"weighted"
"FCGRT",0.640115444806135,0.181171080109407,5.24147880849378e-07,"weighted"
"N4BP2L1",0.401410826772682,0.1215897735987,3.28040678975725e-06,"weighted"
"RNASET2",0.225779626503485,0.100446110155892,3.69826514994057e-06,"weighted"
"JUN",0.67348478456516,0.145025551225598,7.80801772619366e-06,"weighted"
"CCND2",0.416173504207324,0.0905241435898033,9.39861246233901e-06,"weighted"
"CISH",0.863830194597003,0.153913352509744,2.8632795477919e-05,"weighted"
"ACTN1",0.483659682134934,0.140787351095844,3.76190224016068e-05,"weighted"
"UTS2",-0.226687587002652,-0.307087105222139,4.88945396086669e-05,"weighted"
"ARID3A",0.806319154237192,0.146885243461085,7.79474084987462e-05,"weighted"
"LAG3",0.226769455317832,0.0881053933156113,0.000103855607442624,"weighted"
"LINC01588",0.623129755176667,0.131540184097862,0.000122294185063014,"weighted"
"BHLHE40",0.231031060642048,0.0867752551303465,0.000163322886852082,"weighted"
"INSIG1",-0.209427138060234,-0.0824803047391531,0.000171581157201464,"weighted"
"ZBED2",0.60785752008369,0.164917285069673,0.000197655124383941,"weighted"
"EPSTI1",0.506862669113464,0.108656924042966,0.000243689035942819,"weighted"
"SATB1",0.371997438399164,0.0896347184900916,0.000249803331918058,"weighted"
"ZMYM2",0.264664074124695,0.0981556123193897,0.000259704413831699,"weighted"
"HSPB1",0.262330087705203,0.0730523079851737,0.000264399744540643,"weighted"
"BCL2",0.260726548158218,0.101239174679034,0.000274664390837225,"weighted"
"GNLY",0.572820039161367,0.154413360000765,0.000284146168073736,"weighted"
"SYTL3",0.475231060064353,0.0949908819455355,0.000291756066747157,"weighted"
"SLC1A4",-0.37835986296382,-0.145771764561342,0.000305857549621351,"weighted"
"ANXA2",0.246216763163063,0.0571937865987459,0.000343176725953671,"weighted"
"MLLT3",0.207395667966738,0.0846394724007396,0.000377205576426063,"weighted"
"RP11-841O20.2",0.262822727300527,0.124456372205046,0.000419018308054716,"weighted"
"CCL28",0.425190377564758,0.114676745623455,0.000446562007938184,"weighted"
"XCL1",-0.423601811907031,-0.124143637100525,0.000459340629007326,"weighted"
"ZC3H12D",-0.52819984533592,-0.190818200688842,0.000497899087745805,"weighted"
"AURKA",-0.229270884058491,-0.103837520463331,0.000561600585408035,"weighted"
"MLH3",0.48427619966736,0.132036765732845,0.000565714606538745,"weighted"
"MTR",0.302394463202138,0.10923033308216,0.000579884445083798,"weighted"
"SLAMF7",-0.218326092545703,-0.147712511565017,0.000589867313741486,"weighted"
"YPEL1",0.225372042978292,0.102594903260751,0.00101431056502268,"weighted"
"ESCO2",-0.295287093812879,-0.113873518163625,0.00101548356875505,"weighted"
"PCSK7",-0.256298786808236,-0.0758662183684622,0.00104024705816713,"weighted"
"KDM3A",0.579567719879089,0.114603429277889,0.00108687795281924,"weighted"
"CCNG2",0.218002275911765,0.11336927632789,0.00110364102466287,"weighted"
"TNFRSF25",-0.245909566940171,-0.140483999343754,0.00137040690589874,"weighted"
"ANKRD26",0.232165070463155,0.0806381268704068,0.00151476188736537,"weighted"
"CCDC50",-0.255435795995841,-0.186991749617942,0.00166201450681093,"weighted"
"RCAN3",-0.277041786889701,-0.103318274086752,0.00179298196314555,"weighted"
"TRADD",0.337254133507582,0.0642415807271246,0.00196775482302436,"weighted"
"HLA-DMB",-0.207342237283225,-0.116200203171589,0.00207828792641335,"weighted"
"TNFSF14",-0.286993485899814,-0.134831423668998,0.00222339585263647,"weighted"
"HLA-DMA",-0.241168963707384,-0.069109114655736,0.00271929137317324,"weighted"
"RCBTB2",0.420595803487507,0.101840695240754,0.00308409909648812,"weighted"
"UBE2C",-0.218437700099303,-0.0738531216498687,0.00328391523417052,"weighted"
"ASB2",-0.227182805420246,-0.06803881217251,0.00365748102188429,"weighted"
"LMNA",0.207213246716304,-0.136920873109035,0.00386501491514952,"weighted"
"MGEA5",0.247493706343852,0.0558162265669777,0.00402056558056909,"weighted"
"TCEAL4",0.21219665423056,0.0912821343481678,0.00437719296685112,"weighted"
"ZBTB1",0.355088696975855,0.0828859825772798,0.00442853685181309,"weighted"
"PHF11",0.218145920561746,0.0769759654573941,0.00443922906142756,"weighted"
"ARID5A",0.248297395423987,0.0574450350759277,0.0045340282471735,"weighted"
"DHRS3",0.20385735331783,0.0783759281271096,0.00460199830778472,"weighted"
"ZNF160",0.67453986828776,0.119417955074728,0.0048807003173657,"weighted"
"MMP25-AS1",-0.202840845048284,-0.0911602553590116,0.00580301616532269,"weighted"
"CARS",-0.244597310127039,-0.0670883480144664,0.00588589330346632,"weighted"
"SPNS3",-0.223113240074546,-0.128785119157195,0.00622514171971171,"weighted"
"ITGA1",-0.541642758500043,-0.191685909523747,0.00657836747018992,"weighted"
"XAF1",0.259361762309239,0.0861669113111715,0.00663131375903286,"weighted"
"SAMSN1",0.222406852832778,0.0470487233846612,0.00699617165366303,"weighted"
"LGALS3",0.217910305424953,0.058530293284256,0.00710330706645559,"weighted"
"CCL4",-0.821127128226291,-0.144872403562616,0.00757797403022136,"weighted"
"CCNB1",-0.304624583005599,-0.0767737051383523,0.00789576017569166,"weighted"
"MAP3K1",0.68168193753178,0.109018936684115,0.00792440740378877,"weighted"
"CD79A",-0.392521141637207,-0.13583773209704,0.00794355228695991,"weighted"
"CDKN2C",0.218258407017761,0.0843372303959076,0.00795868853499466,"weighted"
"TBC1D4",-0.478782734661467,-0.191338253665285,0.00828220857668184,"weighted"
"TSPYL1",0.44101534472644,0.0869121992660226,0.00829415021775433,"weighted"
"ANKRD28",0.331403116969743,0.0646636937117466,0.00877582932896015,"weighted"
"MIR155HG",0.261904573485481,0.0980888025688909,0.00914393299298982,"weighted"
"PRRC2B",-0.228800072110965,-0.0828700293092491,0.00949558740907399,"weighted"
"CD55",0.26622253591307,0.0605030401928708,0.00968306073295809,"weighted"
"CDK1",-0.286784303028246,-0.0689762452163516,0.00988473285015977,"weighted"
"SDCBP",0.231305477178264,0.0639668259803484,0.00988832137965453,"weighted"
"MXD4",-0.245151649906249,-0.111213533894344,0.00990391421305381,"weighted"
"GLCCI1",-0.239677613228656,-0.186575033319755,0.0106806517236977,"weighted"
"ELMOD3",0.377933858709438,0.0905467675492825,0.0110116198098461,"weighted"
"PPM1K",-0.430413505490412,-0.0879066470468741,0.011429326986839,"weighted"
"CD69",0.318618713366714,0.0832741263695258,0.011512949104788,"weighted"
"LINC00657",0.323227966619303,0.0685010865854942,0.0116450365499998,"weighted"
"KIAA1551",0.204568374510209,0.0444104477511889,0.0118591409879963,"weighted"
"ZNF75A",0.269123722315395,0.0784963830084024,0.0122511466036192,"weighted"
"PPP1R3E",0.393803460720507,0.104298863772687,0.0133013680021801,"weighted"
"IKZF3",-0.372765846490597,-0.0832678793029593,0.0134369402808136,"weighted"
"FAM160B1",0.308872673642233,0.0976842906123291,0.0140900158650359,"weighted"
"PTMS",0.226643425336824,0.0556743910336845,0.0151302157771011,"weighted"
"KLRB1",-0.256129536605604,-0.16278019606896,0.0151593984030978,"weighted"
"PRKCDBP",0.591690036651736,0.0836344624837226,0.0154170624480812,"weighted"
"ITM2C",0.204916428314402,0.042305100286413,0.0182619550482549,"weighted"
"CDCA2",-0.216722553917516,-0.0795024286166879,0.0192675717109694,"weighted"
"FRMD4B",0.445173826208173,0.100010541986986,0.0202402883370356,"weighted"
"ANKRD36B",0.298057390884397,0.0875828458823874,0.0209244540841955,"weighted"
"EP300",0.257348690622935,0.0725795494756936,0.0216759469629891,"weighted"
"RUNDC1",0.678514658453097,0.0960774741055754,0.0225437369426746,"weighted"
"KPNA2",-0.232645357709483,-0.051895340826839,0.0250093153897835,"weighted"
"GZMA",0.309911381551647,0.0789195986590677,0.0251393056654621,"weighted"
"TBC1D14",0.259063259268534,0.0887499033446796,0.0252678832539515,"weighted"
