"gene_ID","log2FC","beta_weight","p_weight","DE_method"
"GNLY",-0.614224931161722,-0.436024512599203,1.7538532658644e-06,"standard"
"TRGC2",-0.491343259177619,-0.342780559757061,7.41657447406822e-05,"standard"
"MDM2",-0.373189110404705,-0.261656132056814,0.00160883085690665,"standard"
"NMT2",-0.376887382209154,-0.266583265589226,0.00296733404856771,"standard"
"STRN3",-0.409186807472532,-0.297878168720388,0.00316731759360858,"standard"
"INPP5D",0.26725493357865,0.178022848225038,0.00496253091077651,"standard"
"SAMD3",-0.475371388498457,-0.338328289786595,0.0065629432689955,"standard"
"GLIPR1",-0.262008222684815,-0.190384633127957,0.00723090281931239,"standard"
"CCL3",-0.249013098890424,-0.28185208921781,0.00748721037023827,"standard"
"ARHGEF3",-0.298192529704393,-0.216325455422356,0.00755437287085044,"standard"
"LINC00869",-0.36398176452382,-0.25920353716132,0.00778158749875059,"standard"
"PMAIP1",0.340071925290645,0.256839126287613,0.00864810397044299,"standard"
"CCL4",-0.214944269337082,-0.297906616196392,0.00922712992449836,"standard"
"GZMA",-0.265440340937422,-0.197011181048423,0.0116427091352443,"standard"
"EPC2",-0.403582248874574,-0.288043253156893,0.0128310065108028,"standard"
"RNF111",-0.397379983293092,-0.282841570266355,0.0138542506929791,"standard"
"IFNG",-0.297772929200121,-0.219818695882498,0.0144903942637792,"standard"
"PYHIN1",-0.305688461119805,-0.221454031973534,0.0156151838815699,"standard"
"HIST1H1B",-0.211530728532542,-0.165724769615462,0.0169790739585423,"standard"
"DGKZ",0.213788769706396,0.142572585493843,0.0181585354083526,"standard"
"XRN1",-0.219621454978427,-0.156984184585004,0.0184395446645692,"standard"
"EXOC4",-0.328976637000086,-0.234564215758323,0.0184677278125839,"standard"
"ANKZF1",0.314274522343927,0.214541908983486,0.0187898394378822,"standard"
"FAM214A",-0.368470680824392,-0.263061599353048,0.0188000813690297,"standard"
"STAG3",-0.427797962255368,-0.301477359152612,0.0194957444851093,"standard"
"ZMYM5",-0.267848026592268,-0.192494777750127,0.0211601219052086,"standard"
"ARHGAP25",-0.21793939102323,-0.15743965568623,0.022523737073104,"standard"
"ARHGAP5",0.353725673062651,0.239136944611218,0.0229418187871067,"standard"
"ZNF131",0.200026350894295,0.129689959447437,0.0243600973256346,"standard"
"TNFAIP8L2",0.267731936406897,0.179455620867264,0.0243776464960629,"standard"
"KLRB1",-0.437844634492828,-0.304973035779994,0.0250896855974505,"standard"
"TCF7",-0.215949650593748,-0.150843636028836,0.0258101234533979,"standard"
"PTPN4",-0.220843145062668,-0.157797754473241,0.0267796270764798,"standard"
"SEL1L3",0.35618147407785,0.242891801207333,0.0270845624399951,"standard"
"PECAM1",0.209002479243868,0.139702802383352,0.0289863272938645,"standard"
"MAF",-0.378296952463826,-0.269403512314218,0.0303360691032086,"standard"
"MAD1L1",-0.299542841049414,-0.212778469734497,0.033555879008777,"standard"
"UBE2C",-0.208150273004303,-0.116089076473618,0.0336450582119696,"standard"
"PHLDA1",-0.281335222576737,-0.205563593734122,0.0360674604097867,"standard"
"PRDM1",-0.243259489851584,-0.175018810519892,0.0376921084404512,"standard"
"ZNF431",0.265847832341427,0.180333564279923,0.0388222970706888,"standard"
