"gene_ID","log2FC","beta_weight","p_weight","DE_method"
"TRGC1",1.11075408809136,0.67885846065953,4.06463744725104e-05,"standard"
"VIM",0.319386816284831,0.131222910245482,0.000972728732077431,"standard"
"IFNG",0.690602457115873,0.41177919837615,0.00116968902829747,"standard"
"SP140",-0.323554416585489,-0.30832972000205,0.00165148089539054,"standard"
"MAD1L1",-0.568290898077602,-0.496538984350092,0.00210349563707986,"standard"
"ALOX5AP",0.413428996720214,0.186396039021526,0.00338784657381932,"standard"
"CCPG1",0.566745877321931,0.33732982500452,0.0036831991936901,"standard"
"KPNA2",0.572109698468859,0.197395205611729,0.0039123523188453,"standard"
"AHI1",-0.222571393553634,-0.231449443437604,0.00447195181328313,"standard"
"GBP3",-0.464828131266546,-0.394614530163159,0.00454234804791628,"standard"
"HERPUD2",0.493489741092205,0.274777628305479,0.00635796497794958,"standard"
"RP11-352M15.2",0.597373718174433,0.366637636790851,0.006671691982057,"standard"
"TUBB4B",0.42774421169268,0.157711667450067,0.00674021335316168,"standard"
"CPNE2",-0.481880667971724,-0.393269777459029,0.00683499998314729,"standard"
"ERAP2",0.391689909240674,0.204757334819575,0.0071081832601329,"standard"
"TNFSF10",0.425404924333375,0.205473832223848,0.00730484048602336,"standard"
"DLGAP5",0.485487372107653,0.214043831832184,0.00732846277806892,"standard"
"TESPA1",0.376318983573497,0.208055322626391,0.00747526622301537,"standard"
"TPM4",0.320044505085857,0.121775738528504,0.00751037269652151,"standard"
"HPGD",-0.460171768835325,-0.367888313196186,0.00752066672284235,"standard"
"ZBTB1",-0.39218453510392,-0.333548184457053,0.0090344944413971,"standard"
"B4GALT1",-0.631938117101805,-0.486617345663317,0.00977823039920916,"standard"
"PGM2L1",-0.336250186441611,-0.296473237197559,0.0105029923171984,"standard"
"REG4",-0.28408453772476,-0.245755567383418,0.0117601663255035,"standard"
"GADD45B",0.613791840637535,0.36168641415347,0.0126026926717273,"standard"
"KLRB1",-0.682775329665028,-0.476702076825564,0.0128231883491155,"standard"
"CPNE1",-0.240527676751618,-0.21745355564639,0.0129614638413164,"standard"
"FAM102A",-0.270542111632159,-0.22952613427021,0.0132171426520231,"standard"
"KDM5B",-0.443377229952834,-0.359426941204949,0.0136897638332078,"standard"
"HSP90B1",0.251018958618047,0.111970649096016,0.0151226856104274,"standard"
"CCNB1",0.514205658384466,0.200746385677595,0.0152217141655099,"standard"
