"","knockout","variable","number","cellNum","ratio","ctrlNum","ctrl_ratio","diff_index","t_D","t_D_ctrl","t_D_diff","t_D_sum","t_D_sum2","perturb_percent"
"1","ARID1A","Topic1",5.54249302378803,24,0.230937209324501,143,0.219969620215425,0.0109675891090761,0.230226076592709,-0.0138898989737331,0.244115975566442,4.86273971393012,4.83565882817181,0.0476100744021574
"2","ARID1A","Topic2",2.79527503611314,24,0.116469793171381,143,0.0706078261841761,0.0458619669872049,1.3378786537677,-0.0441105396506941,1.38198919341839,4.86273971393012,4.83565882817181,0.276669364259823
"3","ARID1A","Topic3",1.11314000584957,24,0.0463808335770655,143,0.0508904717073779,-0.00450963813031236,-0.156115658190073,-0.0437726150142265,-0.112343043175846,4.86273971393012,4.83565882817181,0.03228425820295
"4","ARID1A","Topic4",4.77013141761999,24,0.198755475734166,143,0.17497385375531,0.0237816219788566,0.430557722053147,-0.0192495852615505,0.449807307314697,4.86273971393012,4.83565882817181,0.0890380685140117
"5","ARID1A","Topic5",4.34299988534845,24,0.180958328556186,143,0.143699869205325,0.0372584593508608,0.651106652447333,-0.0701731259931791,0.721279778440512,4.86273971393012,4.83565882817181,0.134646937590817
"6","ARID1A","Topic6",5.43596063128081,24,0.226498359636701,143,0.339858358932387,-0.113359999295686,-2.02977406512085,-0.0765696491066168,-1.95320441601423,4.86273971393012,4.83565882817181,0.41975129703024
"7","BTLA","Topic1",14.3045484390045,59,0.242449973542449,143,0.219969620215425,0.022480353327024,0.401649064682929,-0.0138898989737331,0.415538963656662,5.01823070847203,5.04395084467162,0.0796298530758338
"8","BTLA","Topic2",6.19992543747574,59,0.105083481991114,143,0.0706078261841761,0.034475655806938,1.09490264288826,-0.0441105396506941,1.13901318253896,5.01823070847203,5.04395084467162,0.217072425288384
"9","BTLA","Topic3",5.12885989506551,59,0.086929828729924,143,0.0508904717073779,0.0360393570225461,1.22712200684677,-0.0437726150142265,1.27089462186099,5.01823070847203,5.04395084467162,0.243285877407605
"10","BTLA","Topic4",10.8949208977262,59,0.184659676232647,143,0.17497385375531,0.0096858224773376,0.15276439630275,-0.0192495852615505,0.172013981564301,5.01823070847203,5.04395084467162,0.0302866544514662
